jogo_terminado,id_jogo,ano_copa,time,mandante,oponente,vitoria,empate,derrota,gols_marcados,gols_tomados,escanteios_afavor,gols_marcados_primeiro_tempo,gols_tomados_primeiro_tempo,abriu_placar,ambos_marcaram,cartoes_amarelos,cartoes_vermelhos,faltas_cometidas,posse_bola,chutes,chutes_gol,precisao_chute,ranking_fifa_time,ranking_fifa_oponente,diferenca_ranking,zebra
1,62,2010,Spain,0,Germany,1,0,0,1,0,7,0,0,1,0,0,0,7,51,12,5,0.4166666666666667,1752.6363636363635,1327.2727272727273,425.3636363636365,0
1,63,2010,Uruguay,1,Germany,0,0,1,2,3,6,1,1,0,1,1,0,13,44,14,8,0.5714285714285714,1048.090909090909,1327.2727272727273,-279.18181818181824,0
1,63,2010,Germany,0,Uruguay,1,0,0,3,2,12,1,1,1,1,3,0,11,56,17,8,0.4705882352941176,1327.2727272727273,1048.090909090909,279.18181818181824,0
1,64,2010,Netherlands,1,Spain,0,0,1,0,1,6,0,0,0,0,8,1,28,42,13,6,0.4615384615384616,1493.6363636363635,1752.6363636363635,-259,0
1,64,2010,Spain,0,Netherlands,1,0,0,1,0,8,0,0,1,0,5,0,19,58,19,7,0.3684210526315789,1752.6363636363635,1493.6363636363635,259,0
1,1,2014,Brazil,1,Croatia,1,0,0,3,1,7,1,1,0,1,2,0,5,63,13,5,0.38461538461538464,1222.4166666666667,939.8333333333334,282.58333333333337,0
1,1,2014,Croatia,0,Brazil,0,0,1,1,3,3,1,1,1,1,2,0,19,37,10,4,0.4,939.8333333333334,1222.4166666666667,-282.58333333333337,0
1,2,2014,Mexico,1,Cameroon,1,0,0,1,0,2,0,0,1,0,1,0,10,55,7,3,0.42857142857142855,909.75,595.6666666666666,314.08333333333337,0
1,2,2014,Cameroon,0,Mexico,0,0,1,0,1,5,0,0,0,0,1,0,10,45,12,4,0.3333333333333333,595.6666666666666,909.75,-314.08333333333337,0
1,3,2014,Spain,1,Netherlands,0,0,1,1,5,4,1,1,1,1,1,0,6,61,8,5,0.625,1335.75,1233.5,102.25,1
1,3,2014,Netherlands,0,Spain,1,0,0,5,1,1,1,1,0,1,3,0,18,39,6,6,1,1233.5,1335.75,-102.25,1
1,4,2014,Chile,1,Australia,1,0,0,3,1,3,2,1,1,1,1,0,10,59,7,5,0.7142857142857143,1043.0833333333333,458,585.0833333333333,0
1,4,2014,Australia,0,Chile,0,0,1,1,3,1,1,2,0,1,3,0,18,41,12,3,0.25,458,1043.0833333333333,-585.0833333333333,0
1,5,2014,Colombia,1,Greece,1,0,0,3,0,4,1,0,1,0,1,0,20,44,9,5,0.5555555555555556,1324.8333333333333,1024.8333333333333,300,0
1,5,2014,Greece,0,Colombia,0,0,1,0,3,4,0,1,0,0,2,0,13,56,13,8,0.6153846153846154,1024.8333333333333,1324.8333333333333,-300,0
1,6,2014,Uruguay,1,Costa Rica,0,0,1,1,3,5,1,0,1,1,3,1,21,57,7,3,0.42857142857142855,1188.9166666666667,868.8333333333334,320.08333333333337,1
1,6,2014,Costa Rica,0,Uruguay,1,0,0,3,1,6,0,1,0,1,0,0,17,43,10,2,0.2,868.8333333333334,1188.9166666666667,-320.08333333333337,1
1,7,2014,England,1,Italy,0,0,1,1,2,9,1,1,0,1,1,0,8,49,19,7,0.3684210526315789,1003.1666666666666,1097,-93.83333333333336,0
1,7,2014,Italy,0,England,1,0,0,2,1,2,1,1,1,1,0,0,11,51,10,4,0.4,1097,1003.1666666666666,93.83333333333336,0
1,8,2014,Ivory Coast,1,Japan,1,0,0,2,1,8,0,1,0,1,2,0,12,56,19,8,0.42105263157894735,847.1666666666666,596.25,250.91666666666663,0
1,8,2014,Japan,0,Ivory Coast,0,0,1,1,2,5,1,0,1,1,2,0,10,44,7,5,0.7142857142857143,596.25,847.1666666666666,-250.91666666666663,0
1,9,2014,Switzerland,1,Ecuador,1,0,0,2,1,8,0,1,0,1,1,0,9,52,13,6,0.4615384615384616,1143.3333333333333,845.25,298.08333333333326,0
1,9,2014,Ecuador,0,Switzerland,0,0,1,1,2,5,1,0,1,1,1,0,14,48,10,5,0.5,845.25,1143.3333333333333,-298.08333333333326,0
1,10,2014,France,1,Honduras,1,0,0,3,0,8,1,0,1,0,3,0,13,70,13,5,0.38461538461538464,1054.0833333333333,628.9166666666666,425.16666666666663,0
1,10,2014,Honduras,0,France,0,0,1,0,3,0,0,1,0,0,3,1,13,30,4,2,0.5,628.9166666666666,1054.0833333333333,-425.16666666666663,0
1,11,2014,Argentina,1,Bosnia-Herzegovina,1,0,0,2,1,2,1,0,1,1,1,0,10,57,11,5,0.4545454545454546,1395.75,NA,NA,0
1,11,2014,Bosnia-Herzegovina,0,Argentina,0,0,1,1,2,6,0,1,0,1,1,0,13,43,13,8,0.6153846153846154,NA,1395.75,NA,0
1,12,2014,Germany,1,Portugal,1,0,0,4,0,4,3,0,1,0,0,0,8,55,10,4,0.4,1524.3333333333333,1184.5,339.83333333333326,0
1,12,2014,Portugal,0,Germany,0,0,1,0,4,6,0,3,0,0,1,1,10,45,11,5,0.4545454545454546,1184.5,1524.3333333333333,-339.83333333333326,0
1,13,2014,Iran,1,Nigeria,0,1,0,0,0,2,0,0,0,0,1,0,18,25,7,3,0.42857142857142855,633.6666666666666,646.4166666666666,-12.75,0
